"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"730","Purple Moods QC","MDS-1:3-PRP2212-S1","Edible","Tincture","","",83.9942,16.7062,NA,28.0996,7.7734,0.1017,2.1373,31.0565,2.0737,0.6484,0.5707,98.6455,34.9169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.1617,0
"731","Purple Moods QC","MDS-1:3-PRP2206","Edible","Tincture","","",11.04,3.906,NA,4.021,1.279,0.086,0.492,NA,0.113,0.126,0.069,14.4656,5.14268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.132,0
"732","Purple Moods S1 QC","MDS-1:3-PRP2107-S1","Edible","Tincture","","",13.102,4.555,NA,4.701,1.693,0.104,0.442,0.053,0.164,0.224,0.078,17.0967,6.18576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.116,0
"733","Purple Moods S3 QC","MDS-1:3-PRP2007-S3","Edible","Tincture","","",9.8569,3.512,NA,3.1818,1.2935,NA,0.2707,NA,0.1046,0.2128,0.1654,12.9369,4.3162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5977,0
"734","Purple Wreck","Purple Wreck PL 467","Plant","Flower","","",11.721,144.828,NA,NA,0.488,NA,NA,0.585,NA,4.504,6.537,138.735,0.427976,0.157,NA,0.219,0.0944,0.00342,0.00236,NA,NA,NA,0.0186,0.307,NA,0.0297,NA,0.0205,0.0102,0.00636,0.0128,NA,0.0133,0.0244,NA,0.00947,0.00794,0.6,0.00599,0.0351,0.15,168.663,1.72754
"735","Purple Wreck FSO QC","CHM-RHPWK200827-FSO","Concentrate","Other","","",722.135,123.098,NA,1.134,NA,NA,8.735,13.11,7.684,9.281,9.613,830.092,1.134,0.168,NA,0.00183,NA,NA,0.00504,NA,NA,NA,0.00471,0.0438,NA,0.01558,NA,0.0491,0.0064,NA,NA,NA,0.0181,0.02263,0.00185,0.0064,NA,0.02766,NA,0.0728,0.32475,894.79,0.76865
"736","Purple Wreck PL 467","Purple Wreck Microcrude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"737","Queen Lois FSO","CHM-SHFQLO220222-FSO","Concentrate","Other","","",547.511,291.433,NA,0.864,0.785,NA,3.522,13.185,4.17,6.09,13.138,803.098,0.864,0.008176486,0.005822636,NA,NA,NA,NA,NA,NA,0.004940995,NA,0.002756225,NA,0.043611028,NA,0.076477882,NA,NA,NA,NA,0.038149318,0.005619095,NA,NA,0.011153794,0.001857191,0.008521928,0.40739058,1.234982846,880.698,1.849460004
"738","Remedy Bulk Tincture Part 1","CHM-LDWRMD220727-TNT","Edible","Tincture","","",3.3311,2.0219,NA,53.9423,78.4753,NA,NA,0.5883,1.0128,3.6255,0.7933,5.10431,122.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.7905,0
"739","Remedy Bulk Tincture Part 2","CHM-LDWRMD220628-TNT","Edible","Tincture","","",19.283,NA,NA,349.4041,3.9854,NA,0.6783,2.3227,7.8989,NA,NA,19.283,352.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.5724,0
"740","Remedy FSO","CHM-LDWRMD191204-FSO","Concentrate","Other","","",16.21523,15.04366,NA,225.6884,535.5893,0.4364,NA,2.2698,7.34028,32.37956,6.8472,29.4085,695.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841.80983,0
"741","Remedy FSO","CHM-LDWRMD210202-FSO","Concentrate","Other","","",50.482,NA,NA,707.166,18.81,3.053,0.872,5.093,19.109,2.727,0.733,50.482,723.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,808.045,0
"742","Remedy FSO QC","CHM-LDWRMD211221-FSO","Concentrate","Other","","",47.246,NA,1.481,733.18,9.355,3.87,1.065,5.144,18.892,1.146,NA,47.246,741.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821.379,0
"743","Royal Cherry Kush flower","Royal Cherry Kush flower","Plant","Flower","","",18.858,175.747,NA,NA,16.877,NA,NA,1.136,NA,4.625,8.67,172.988,14.8011,0.0503,0.00949,0.211,0.085,0.00473,NA,NA,NA,0.00317,0.00277,0.085,NA,0.0505,0.0078,0.0399,0.00278,0.00316,0.00186,NA,0.0162,0.0656,NA,0.00275,0.0102,0.391,0.00806,0.101,0.305,225.913,1.45727
"744","Royal Cherry Kush FSO QC","CHM-MGRCK20831-FSO","Concentrate","Other","","",687.218,86.617,NA,34.538,17.088,NA,8.128,15.183,6.868,6.677,9.307,763.181,49.5242,0.0553,0.0045,0.00267,NA,NA,0.00479,NA,NA,NA,NA,0.0172,NA,0.03197,0.0098,0.1228,0.002,NA,NA,NA,0.0387,0.02123,NA,0.0022,0.00154,0.02264,NA,0.32903,0.90636,871.624,1.57273
"745","Runtz FSO QC","CHM-MMRNZ210826-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"746","Sandland - 3:1 THC:CBN Disposable Vaporizer 0.5 g","SND-220328-DV-0.5G","Concentrate","Cartridge","","",434.219,168.185,NA,5.631,1.109,NA,203.279,8.524,5.207,10.424,13.353,581.717,6.60359,0.007918542,0.013427051,0.103523714,0.040994007,0.010187278,0.004789879,NA,NA,0.016212481,0.002054028,0.013099922,NA,0.198856701,0.010676022,0.073294716,NA,0.009167403,NA,NA,0.056802746,0.39896632,NA,0.001637537,0.058901969,0.345023291,0.012808071,1.035606795,2.479472783,849.931,4.893421256
"747","Sandland 3:1 FSO QC","CHM-SND220830-FSO","Concentrate","Other","","",432.991,160.989,NA,6.151,0.894,NA,185.465,8.932,5.249,9.375,13.677,574.178,6.93504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,823.723,0
"748","Sandland 3:1 FSO QC","CHM-SND210111-FSO","Concentrate","Other","","",428.614,160.801,NA,5.987,0.897,NA,199.187,9.246,5.691,10.079,13.117,569.636,6.77367,0.008629305,0.011146573,0.082975866,0.059989435,0.010762663,0.006068242,NA,NA,0.016023259,NA,0.013933322,NA,0.178260591,0.010026683,0.069469668,NA,NA,NA,NA,0.04874702,0.388459421,NA,0.002839763,0.050558204,0.364525465,NA,0.93880102,2.520630313,833.619,4.781846813
"749","Sandland 5:1 CBN:THC Tablets 2 pack","SND-CBNTHC211129","Edible","Orally Dissolving Product","","",11.475,NA,NA,NA,NA,NA,56.8991,NA,0.1935,NA,NA,11.475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5676,0
"750","Sandland 5:1 Fall Asleep Tablets 10 pk","SND-51FA220303","Edible","Orally Dissolving Product","","",11.8087,NA,NA,NA,NA,NA,56.7524,NA,0.1472,NA,0.2755,11.8087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9838,0
"751","Sandland 5:1 Fall Asleep Tablets 10 pk","SND-51FA220211","Edible","Orally Dissolving Product","","",11.854,NA,NA,NA,NA,NA,55.228,NA,0.1545,NA,0.233,11.854,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.4695,0
"752","Sandland 5:1 Fall Asleep Tablets 10 pk","SND-51FA220121","Edible","Orally Dissolving Product","","",11.6694,NA,NA,NA,NA,NA,56.164,NA,0.1427,NA,0.2261,11.6694,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2022,0
"753","Sandland 5:1 Stay Asleep Tablets 10 pk","SND-51SA220304","Edible","Orally Dissolving Product","","",15.902,NA,NA,NA,NA,NA,81.4627,NA,0.1833,NA,0.3683,15.902,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.9163,0
"754","Sandland 5:1 Stay Asleep Tablets 10 pk","SND-51SA220214","Edible","Orally Dissolving Product","","",15.516,NA,NA,NA,NA,NA,79.0521,NA,0.2121,NA,0.3726,15.516,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.1528,0
"755","Sandland Fall Asleep Sublingual Tablets 10 pk","SND-SUB220124","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,60.0922,NA,NA,NA,0.1956,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.2878,0
"756","Sandland Fall Asleep Sublingual Tablets 10 pk","SND-SUB211119","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,59.85016,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.85016,0
"757","Sandland Fall Asleep Sublingual Tablets 10 pk","SND-SUB210818","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,65.7104,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7104,0
"758","Sandland Fall Asleep Sublingual Tablets 10 pk","SND-SUB210429","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,64.339,NA,NA,NA,0.181,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.52,0
"759","Sandland Stay Asleep Ingestible Tablets 10 pk","SND-ING220125","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,85.4742,NA,NA,NA,0.1982,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.6724,0
"760","Sandland Stay Asleep Ingestible Tablets 10 pk","SND-ING211122","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,89.98526,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.98526,0
"761","Sandland Stay Asleep Ingestible Tablets 10 pk","SND-ING210820","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,95.7434,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7434,0
"762","Sandland Stay Asleep Ingestible Tablets 10 pk","SND-ING210430","Edible","Orally Dissolving Product","","",NA,NA,NA,NA,NA,NA,92.494,NA,NA,NA,0.213,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.707,0
"763","Sapphire Tsu Flower","Sapphire Tsu Flower","Plant","Flower","","",5.81,62.34,NA,3.978,130.307,NA,NA,1.279,NA,6.916,8.755,60.4822,118.257,0.0493,0.0222,0.183,0.0892,0.00517,0.00287,NA,NA,0.00411,NA,0.0375,NA,0.0395,0.0237,0.0139,0.00322,0.00451,NA,NA,0.0108,0.0569,NA,0.00314,0.0178,0.292,NA,0.0495,0.187,219.385,1.09532
"764","Sleepy Tincture Formulation S1","LSLBW210504-TNT","Edible","Tincture","","",5.02974,0.374185,NA,12.50066,3.42824,NA,5.46225,0.108325,0.24553,0.263885,0.098875,5.3579,15.5072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.51169,0
"765","SMC Cart","PL-SMC171009-1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"766","SND-ING210527QC","","Edible","Powder","","",NA,NA,NA,NA,NA,NA,69.0244,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0244,0
"767","SND-SUB210527-QC","","Edible","Powder","","",NA,NA,NA,NA,NA,NA,56.554,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.554,0
"768","Sonoma Hills Bulk THC Blend FSO","CHM-SHFSO220315-FSO","Concentrate","Other","","",720.139,10.439,NA,NA,NA,NA,8.16,20.827,9.846,2.663,7.23,729.294,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779.304,0
"769","Sour Urkle FSO","CHM-RRSUK211207-FSO","Concentrate","Other","","",545.226,288.494,NA,5.632,1.061,NA,7.692,12.338,3.332,5.415,15.959,798.235,6.5625,0.206808899,0.003832623,NA,NA,NA,0.004442984,NA,NA,0.017589282,NA,0.025689587,NA,0.120007184,NA,0.069175885,0.013004566,NA,NA,NA,0.10415964,0.050859803,NA,0.008515827,0.044918273,0.005874749,0.006591853,0.184013962,0.711080083,885.149,1.5765652
"770","Source Wellness Formulation 3","SRC-210220-TABF3.1","Edible","Powder","","",2.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.189,0
"771","Source Wellness Formulation 4","SRC-210220-TABF4.1","Edible","Powder","","",2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,0
"772","Source Wellness Formulation 5","SRC-210220-TABF5.1","Edible","Powder","","",2.1141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1141,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1141,0
"773","Source Wellness Formulation 5","SRC-210220-TABF5.2","Edible","Other","","",2.0657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0657,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0657,0
"774","Source Wellness Formulation 5","SRC-210220-TABF5.1","Edible","Powder","","",2.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.185,0
"775","Source Wellness Formulation 6","SRC-210220-TABF6.2","Edible","Other","","",3.0643,NA,NA,NA,NA,NA,NA,0.0824,NA,NA,NA,3.0643,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1467,0
"776","Source Wellness Formulation 6","SRC-210220-TABF6.1","Edible","Powder","","",3.228,NA,NA,NA,NA,NA,NA,0.07709,NA,NA,NA,3.228,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30509,0
"777","Source Wellness Sample 1","SRC-210621-S1","Edible","Orally Dissolving Product","","",0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.886,0
"778","Source Wellness Sample 2","SRC-210621-S2","Edible","Orally Dissolving Product","","",0.9028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9028,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9028,0
"779","Source Wellness Sample 3","SRC-210621-S3","Edible","Orally Dissolving Product","","",0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,0
"780","Source Wellness Sample 4","SRC-210621-S4","Edible","Orally Dissolving Product","","",0.9258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9258,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9258,0
"781","Spent ACDC Sample 1","CHM-ACD210102","Plant","Leaf/Trim","","",NA,NA,NA,3.279,5.4613,NA,NA,NA,NA,0.2755,NA,0,8.06856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0158,0
"782","Spent ACDC Sample 2","CHM-ACD210102","Plant","Leaf/Trim","","",NA,NA,NA,1.491,5.118,NA,NA,NA,NA,NA,NA,0,5.97949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.609,0
"783","Spent ACDC Sample 3","CHM-ACD210102","Plant","Leaf/Trim","","",0.483,NA,NA,7.023,9.285,NA,NA,NA,0.413,0.524,0.306,0,15.1659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.034,0
"784","Spent Cookie Glue Shake Sample A","CHM-CFCKG210610-FSOA","Plant","Leaf/Trim","","",1.122,2.394,NA,NA,NA,NA,NA,NA,NA,NA,0.345,3.22154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.861,0
"785","Spent Cookie Glue Shake Sample B","CHM-CFCKG210610-FSOA","Plant","Leaf/Trim","","",1.057,2.227,NA,NA,NA,NA,NA,NA,NA,NA,0.324,3.01008,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.608,0
"786","Spent Croft Sample 4","CHM-CFDIA210223-FSOA","Plant","Leaf/Trim","","",1.922,8.534,NA,NA,NA,NA,NA,NA,NA,1.981,0.379,9.40632,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.816,0
"787","Spyrock OG FSOA QC","CHM-SHFSPY201118-FSOA","Concentrate","Crystalline","","",9.5718,825.8578,NA,NA,1.0456,NA,NA,NA,NA,7.5633,1.598,733.849,0.916991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845.6365,0
"788","SRC-210407-TABL1.1","","Edible","Powder","","",1.936895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9369,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.936895,0
"789","SRC-210407-TABL1.2","","Edible","Powder","","",2.15555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15555,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15555,0
"790","SRC-210407-TABL2.1","","Edible","Powder","","",2.14237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14237,0
"791","SRC-210407-TABL2.2","","Edible","Powder","","",2.08468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08468,0
"792","SRC-MCC","2JFO284","Edible","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"793","SRC-TABL-1+2","","Edible","Powder","","",2.094,NA,NA,NA,NA,NA,0.029,0.061,0.034,NA,NA,2.094,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.218,0
"794","SRC-TABL-3.1","","Edible","Powder","","",2.129,NA,NA,NA,NA,NA,0.019,0.058,0.033,NA,NA,2.129,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.239,0
"795","SRC-TABL-4.1","","Edible","Powder","","",2.162,NA,NA,NA,NA,NA,0.018,0.058,0.033,NA,NA,2.162,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.271,0
"796","SRC-THEA","2105801","Edible","Powder","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"797","Strawberry Banana Fresh Terpenes","RHSNF201022","Concentrate","Terpene","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0958,0.003504,3.68312,1.9254,0.1501,0.05742,NA,NA,0.05152,0.4655,7.521,NA,0.4238,NA,0.04031,0.13418,0.1008,0.3054,NA,0.03286,6.6623,0.19434,0.08012,0.2223,40.5263,0.12474,1.18272,4.96125,0,79.944784
"798","Strawnana Frosting Flower QC","CHM-RHSNF-FLW","Plant","Flower","","",26.753,107.483,NA,NA,NA,NA,NA,0.748,0.639,2.341,4.867,121.016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.831,0
"799","Strawnana Frosting FSO QC","CHM-RHSNF201210-FSO","Concentrate","Other","","",630.5719,91.258,NA,1.8012,1.1761,NA,6.5892,6.7687,5.3485,5.949,2.3595,710.605,2.83264,1.1189,0.002611,0.36809,0.1741,0.0125,0.00432,NA,NA,0.00334,0.0472,0.729,NA,0.0316,NA,0.11686,0.03133,0.00417,0.0281,NA,NA,0.6287,NA,0.01699,0.017,3.85634,0.00181,0.19656,0.63894,751.8221,8.028461
"800","Strawnana Frosting Live FSO","CHM-SNF220208-FSO","Concentrate","Other","","",428.743,444.915,NA,0.677,1.347,NA,3.36,3.661,4.046,12.032,13.992,818.933,1.18132,0.00750311,0.003365525,NA,NA,NA,NA,NA,NA,NA,NA,0.001584028,NA,0.008489252,0.007356617,0.09055464,0.0039524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006246723,0.351112878,1.0495948,912.773,1.529759973
"801","Sunset Sherbet FSO QC","CHM-SHFSHB210617-FSO","Concentrate","Other","","",562.483,203.515,NA,8.555,1.39,NA,5.417,12.915,7.774,13.309,15.969,740.966,9.77403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831.327,0
